,categories
3749,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3750,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'latin', 'title': 'Latin American'}]"
3751,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
3752,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
3753,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]"
3754,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'artmuseums', 'title': 'Art Museums'}]"
3755,"[{'alias': 'localflavor', 'title': 'Local Flavor'}]"
3756,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3757,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
3758,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]"
3759,"[{'alias': 'pizza', 'title': 'Pizza'}]"
3760,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
3761,"[{'alias': 'aquariums', 'title': 'Aquariums'}]"
3762,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
3763,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
3764,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'japanese', 'title': 'Japanese'}]"
3765,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3766,"[{'alias': 'southern', 'title': 'Southern'}]"
3767,"[{'alias': 'soulfood', 'title': 'Soul Food'}]"
3768,"[{'alias': 'raw_food', 'title': 'Live/Raw Food'}]"
3769,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
3770,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3771,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3772,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]"
3773,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]"
3774,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
3775,"[{'alias': 'steak', 'title': 'Steakhouses'}]"
3776,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'bars', 'title': 'Bars'}]"
3777,"[{'alias': 'burgers', 'title': 'Burgers'}]"
3778,"[{'alias': 'museums', 'title': 'Museums'}]"
3779,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3780,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
3781,"[{'alias': 'newamerican', 'title': 'American (New)'}]"
3782,"[{'alias': 'culturalcenter', 'title': 'Cultural Center'}, {'alias': 'museums', 'title': 'Museums'}]"
3783,"[{'alias': 'newamerican', 'title': 'American (New)'}]"
3784,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
3785,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
3786,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]"
3787,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'vegan', 'title': 'Vegan'}]"
3788,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'italian', 'title': 'Italian'}]"
3789,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'basque', 'title': 'Basque'}]"
3790,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
3791,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'southern', 'title': 'Southern'}]"
3792,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
3793,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]"
3794,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3795,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]"
3796,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
3797,"[{'alias': 'vegan', 'title': 'Vegan'}]"
3798,"[{'alias': 'korean', 'title': 'Korean'}]"
3799,"[{'alias': 'german', 'title': 'German'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]"
3800,"[{'alias': 'cheese', 'title': 'Cheese Shops'}, {'alias': 'meats', 'title': 'Meat Shops'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3801,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}]"
3802,"[{'alias': 'tobaccoshops', 'title': 'Tobacco Shops'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]"
3803,"[{'alias': 'soulfood', 'title': 'Soul Food'}]"
3804,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3805,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
3806,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3807,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3808,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'seafood', 'title': 'Seafood'}]"
3809,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3810,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]"
3811,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]"
3812,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3813,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
3814,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'southern', 'title': 'Southern'}]"
3815,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
3816,"[{'alias': 'museums', 'title': 'Museums'}]"
3817,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
3818,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
3819,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3820,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}, {'alias': 'candy', 'title': 'Candy Stores'}]"
3821,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'indpak', 'title': 'Indian'}]"
3822,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'italian', 'title': 'Italian'}]"
3823,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'salad', 'title': 'Salad'}]"
3824,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3825,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
3826,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
3827,"[{'alias': 'parks', 'title': 'Parks'}]"
3828,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
3829,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}]"
3830,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3831,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]"
3832,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3833,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
3834,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
3835,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3836,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
3837,"[{'alias': 'italian', 'title': 'Italian'}]"
3838,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]"
3839,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3840,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'divebars', 'title': 'Dive Bars'}]"
3841,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3842,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3843,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]"
3844,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
3845,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'salad', 'title': 'Salad'}]"
3846,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3847,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'noodles', 'title': 'Noodles'}]"
3848,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'mexican', 'title': 'Mexican'}]"
3849,"[{'alias': 'southern', 'title': 'Southern'}]"
3850,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3851,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'italian', 'title': 'Italian'}]"
3852,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
3853,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3854,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3855,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
3856,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3857,"[{'alias': 'greek', 'title': 'Greek'}]"
3858,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
3859,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'lebanese', 'title': 'Lebanese'}]"
3860,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'pubs', 'title': 'Pubs'}]"
3861,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
3862,"[{'alias': 'indpak', 'title': 'Indian'}]"
3863,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}, {'alias': 'southern', 'title': 'Southern'}]"
3864,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'creperies', 'title': 'Creperies'}]"
3865,"[{'alias': 'tacos', 'title': 'Tacos'}]"
3866,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3867,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tacos', 'title': 'Tacos'}]"
3868,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
3869,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cuban', 'title': 'Cuban'}]"
3870,"[{'alias': 'newamerican', 'title': 'American (New)'}]"
3871,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
3872,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]"
3873,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}]"
3874,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3875,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3876,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]"
3877,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3878,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3879,"[{'alias': 'amusementparks', 'title': 'Amusement Parks'}]"
3880,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3881,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3882,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]"
3883,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]"
3884,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'golf', 'title': 'Golf'}]"
3885,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
3886,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'breweries', 'title': 'Breweries'}]"
3887,"[{'alias': 'artmuseums', 'title': 'Art Museums'}]"
3888,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'bowling', 'title': 'Bowling'}]"
3889,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'divebars', 'title': 'Dive Bars'}]"
3890,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3891,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]"
3892,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
3893,"[{'alias': 'indpak', 'title': 'Indian'}]"
3894,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'bars', 'title': 'Bars'}]"
3895,"[{'alias': 'mexican', 'title': 'Mexican'}]"
3896,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3897,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
3898,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}]"
3899,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
3900,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
3901,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3902,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]"
3903,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'foodstands', 'title': 'Food Stands'}]"
3904,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]"
3905,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'tikibars', 'title': 'Tiki Bars'}]"
3906,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}]"
3907,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
3908,"[{'alias': 'british', 'title': 'British'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
3909,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]"
3910,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'italian', 'title': 'Italian'}]"
3911,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bars', 'title': 'Bars'}]"
3912,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
3913,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]"
3914,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3915,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]"
3916,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}]"
3917,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3918,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]"
3919,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3920,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]"
3921,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'latin', 'title': 'Latin American'}]"
3922,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]"
3923,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]"
3924,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tobaccoshops', 'title': 'Tobacco Shops'}]"
3925,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
3926,"[{'alias': 'fondue', 'title': 'Fondue'}]"
3927,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
3928,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
3929,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]"
3930,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3931,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
3932,"[{'alias': 'pizza', 'title': 'Pizza'}]"
3933,"[{'alias': 'steak', 'title': 'Steakhouses'}]"
3934,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]"
3935,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'donuts', 'title': 'Donuts'}]"
3936,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3937,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]"
3938,"[{'alias': 'noodles', 'title': 'Noodles'}]"
3939,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3940,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3941,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3942,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'soup', 'title': 'Soup'}]"
3943,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]"
3944,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'pubs', 'title': 'Pubs'}]"
3945,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'escapegames', 'title': 'Escape Games'}]"
3946,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'museums', 'title': 'Museums'}]"
3947,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]"
3948,"[{'alias': 'tacos', 'title': 'Tacos'}]"
3949,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'soulfood', 'title': 'Soul Food'}]"
3950,"[{'alias': 'galleries', 'title': 'Art Galleries'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'southern', 'title': 'Southern'}]"
3951,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]"
3952,"[{'alias': 'french', 'title': 'French'}, {'alias': 'russian', 'title': 'Russian'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
3953,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
3954,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'lounges', 'title': 'Lounges'}]"
3955,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
3956,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3957,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'bars', 'title': 'Bars'}]"
3958,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
3959,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'dinnertheater', 'title': 'Dinner Theater'}]"
3960,"[{'alias': 'newamerican', 'title': 'American (New)'}]"
