categories 1,categories 2
Food,"Breakfast & Brunch, American, Mexican"
Food,"Restaurants, Desserts, American"
"Night Life, Food","Bars, Restaurants, Breakfast & Brunch"
Food,"Korean, American, Deli"
Food,"Restaurants, Healthy, Burger"
Food,"Restaurants, Asian"
Food,"European, Healthy, American"
Food,Mexican
"Night Life, Food","Barbeque, American, Sports Bars"
"Night Life, Food","Bars, American"
"Night Life, Food","Cocktail Bars, American"
Shopping,Chicken Shop
"Night Life, Food","Wine Bars, Coffee & Tea"
Food,"Healthy, European, Fast Food"
Attraction,Museums
Food,Fast Food
"Night Life, Food","Sports Bars, Pubs, Fast Food"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,Ice Cream & Frozen Yogurt
Food,"Asian, Japanese"
Food,Mexican
"Night Life, Food","Cocktail Bars, Restaurants"
Food,"Coffee & Tea, Ice Cream & Frozen Yogurt"
Food,Coffee&Tea
Food,American
"Night Life, Food","Bars, American, Gastropubs"
Food,"Desserts, Coffee & Tea"
"Night Life, Food","Bars, American"
"Night Life, Food","Bars, Healthy, Fast Food"
Food,"Deli, Fast Food"
Food,"Caf??, Coffee & Tea"
Food,Pizza
Active Life,Parks
Active Life,Parks
Food,Breakfast & Brunch
Food,Mexican
Food,Pizza
Food,"Desserts, Bakery, Breakfast & Brunch"
Food,Seafood
"Night Life, Food","Breakfast & Brunch, Gastropubs"
"Night Life, Food","American, Gastropubs"
"Night Life, Food","Cocktail Bars, American"
Food,American
Food,"Asian, Japanese"
Food,Pizza
Food,Pizza
Food,Barbeque
"Night Life, Food","Cocktail Bars, Barbeque"
Food,"Healthy, Burger"
Food,"Asian, Healthy, South Asian"
Night Life,"Beer, Beer Bar"
Food,"Deli, Restaurants, Fast Food"
"Night Life, Food","American, Pubs, Sports Bars"
Night Life,Gay Bars
Food,"American, Fast Food"
"Active Life, Attraction","Churches, Landmarks & Historical Buildings"
Food,"Healthy, European, Pizza"
Night Life,Pubs
Food,"Desserts, Bakery, Breakfast & Brunch"
"Night Life, Food","Sports Bars, Fast Food"
Food,"Desserts, European, Pizza"
Food,"Comfort, Breakfast & Brunch, American"
Food,Fast Food
Food,"Healthy, South American, Breakfast & Brunch"
Food,American
Food,Mexican
"Night Life, Food","Bars, Breakfast & Brunch, Mexican"
Food,"Healthy, Desserts, Ice Cream & Frozen Yogurt"
"Night Life, Food","Bars, Breakfast & Brunch, Barbeque"
Food,"Restaurants, Healthy, Breakfast & Brunch"
"Food, Shopping","Restaurants, Seafood, Chicken Shop"
Food,"Deli, Fast Food"
Food,Asian
Food,Mexican
"Night Life, Food","Tapas, Dance Clubs"
"Shopping, Food","Women's Clothing, Coffee & Tea, Men's Clothing"
"Night Life, Food","Tiki Bars, Seafood"
Food,Seafood
Active Life,Parks
"Night Life, Food","Bars, American, Caribbean"
"Night Life, Food","Korean, Barbeque, Bars"
Food,Fast Food
Food,"Mediterranean, Middle Eastern"
Food,"Deli, American, Fast Food"
Food,"Healthy, Pizza, Fast Food"
Food,"Coffee&Tea, Coffee & Tea"
Food,"Japanese, South Asian"
Food,Spanish
Food,"Korean, Asian"
Food,"Mexican, Fast Food"
Food,"Breakfast & Brunch, Pizza"
Food,Asian
Food,"Restaurants, Healthy, Fast Food"
Food,"Breakfast & Brunch, American"
Food,Fast Food
Food,"Breakfast & Brunch, Coffee & Tea, Fast Food"
Food,"Caf??, Coffee & Tea"
"Night Life, Food","Barbeque, Dive Bars, Fast Food"
Food,"Breakfast & Brunch, American"
Food,American
Food,"Healthy, Coffee & Tea, Bakery"
Food,Japanese
"Night Life, Food","Bars, Asian"
"Night Life, Food","Cocktail Bars, Healthy, Fast Food"
Food,European
Food,Caribbean
Food,"European, Pizza"
"Night Life, Food","Cocktail Bars, Ice Cream & Frozen Yogurt"
Food,"Caf??, French, Fast Food"
Food,"Breakfast & Brunch, American"
"Night Life, Food","Bars, American, Mediterranean"
Food,"Healthy, Japanese, South Asian"
"Night Life, Food","Cocktail Bars, Mexican, Spanish"
Food,Ice Cream & Frozen Yogurt
Food,"Mexican, Seafood"
Night Life,Pubs
"Night Life, Food","Cocktail Bars, American, Gastropubs"
Food,"Breakfast & Brunch, Deli, Fast Food"
"Night Life, Food","Dive Bars, Seafood"
Food,"Restaurants, Asian, South Asian"
Food,South Asian
Food,American
"Night Life, Food","Breakfast & Brunch, Sports Bars, Pubs"
Food,"Breakfast & Brunch, Desserts, Mexican"
Food,"Egyptian, Japanese"
Food,"European, American"
"Night Life, Food","Cocktail Bars, Seafood, Fast Food"
"Night Life, Food","Cocktail Bars, Spanish"
"Arts&Entertainment, Attraction","Museums, Performing Arts"
Food,"Mexican, Fast Food"
Food,"Brazilian, American, Spanish"
Food,"Desserts, Ice Cream & Frozen Yogurt"
"Night Life, Food","Piano Bars, American, Seafood"
Food,"Restaurants, American"
"Night Life, Food","Cocktail Bars, American"
"Night Life, Food","Cocktail Bars, Sports Bars, Barbeque"
Food,"Pizza, Fast Food"
Food,Indian
Food,"Asian, Chinese"
Food,"Breakfast & Brunch, American"
"Night Life, Food","Bars, Healthy, American"
Attraction,Museums
Food,"Restaurants, Barbeque"
"Night Life, Food","Bars, Mexican"
Food,"Indian, Coffee & Tea, Middle Eastern"
Food,European
Food,"Caf??, Desserts, Bakery"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,"Coffee & Tea, Bakery, Fast Food"
Night Life,Bars
"Arts&Entertainment, Food","Poke, Seafood"
"Night Life, Food","Bars, Breakfast & Brunch, Fast Food"
"Night Life, Active Life, Food","Bars, American, Golf"
Food,Mexican
"Night Life, Food","Bars, American"
Food,"Deli, Desserts, Ice Cream & Frozen Yogurt"
Food,African
"Night Life, Food","European, Pizza, Beer Bar"
"Night Life, Food","Bars, American, Fast Food"
"NULL, Food","NULL, Coffee & Tea, Motorcycle Gear"
Food,"Seafood, Fast Food"
"Night Life, Food","American, Pubs, Pizza"
Food,"Korean, Asian, Japanese"
"Night Life, Food","Beer, American, Sports Bars"
Food,"Mediterranean, Greek, Middle Eastern"
"Night Life, Food","American, Pubs"
Food,"Breakfast & Brunch, Fast Food"
"Active Life, Night Life, Food","American, Pubs, Pool Halls"
Food,"Coffee & Tea, Deli"
"Night Life, Food","American, Dive Bars"
"Night Life, Food","Cocktail Bars, Japanese"
Food,"American, Seafood, Fast Food"
"Night Life, Shopping","Lounges, Tobacco Shops"
Food,Fast Food
"Arts&Entertainment, Food","American, Music Venues"
"Night Life, Food","Cocktail Bars, Lounges, Spanish"
"Night Life, Food","Pubs, Deli, Fast Food"
Food,"European, Pizza"
Food,"European, American"
"Active Life, Night Life, Food","American, Pool Halls, Brewpubs"
"Food, Shopping","Grocery, Deli, Fast Food"
Food,"American, Seafood"
Food,"Asian, Japanese"
Food,"Restaurants, Breakfast & Brunch, American"
Night Life,Pubs
"Arts&Entertainment, Food","Poke, Japanese"
Food,American
"Arts&Entertainment, Food","Restaurants, Poke, Japanese"
Food,"Healthy, Breakfast & Brunch, American"
Active Life,Parks
"Night Life, Food","Bars, American"
Attraction,Amusement Parks
Food,"Healthy, European, Pizza"
Food,Caribbean
Food,"Caf??, Desserts"
"Arts&Entertainment, Food","American, Music Venues"
Food,European
"Night Life, Food","Bars, American, Fast Food"
"Night Life, Food","Wine Bars, Desserts, European"
Food,Fast Food
Food,"Caribbean, Mexican"
Food,"Coffee & Tea, Fast Food"
Food,Mexican
Food,"European, Pizza"
Food,Coffee & Tea
Food,"Mexican, Fast Food"
Food,"American, Barbeque"
Food,"Caribbean, Mexican"
"Night Life, Food","Asian, American, Beer Bar"
"Arts&Entertainment, Attraction","Cultural Center, Museums"
Food,American
Food,Chinese
"Night Life, Food","Bars, Indian"
"Night Life, Food","Asian, Seafood, Tiki Bars"
Food,"American, Barbeque, Fast Food"
Attraction,Landmarks & Historical Buildings
"Night Life, Arts&Entertainment","Lounges, Music Venues"
"Night Life, Food","Bars, Mexican"
Food,Coffee & Tea
Food,Caribbean
Food,"American, Barbeque, Seafood"
Food,Middle Eastern
Food,Caribbean
"Night Life, Food","Bars, American"
Food,"Healthy, European, Pizza"
Food,"Mediterranean, Greek"
Food,Mediterranean
Food,Indian
Food,Coffee & Tea
Food,Coffee & Tea
Food,"European, Pizza"
"Night Life, Attractions","Cocktail Bars, Distilleries, Beer Tours"
Active Life,Dog Parks
Food,"American, Seafood"
Food,South Asian
"Night Life, Food","Cocktail Bars, Mexican"
Food,"Breakfast & Brunch, Coffee & Tea"
"Night Life, Food","Mediterranean, Greek, Hookah Bars"
"Night Life, Food","Bars, American"
"Night Life, Food","Caf??, Beer, Coffee & Tea"
"Arts&Entertainment, Food","Desserts, American, Dinner Theater"
Food,"Bakery, Deli"
Food,"European, American, Pizza"
"Night Life, Food","American, Sports Bars"
Food,Breakfast & Brunch
Food,Japanese
Food,"European, Pizza, Fast Food"
Food,"American, Fast Food"
"Night Life, Arts&Entertainment","Bars, Music Venues"
"Night Life, Arts&Entertainment","Bars, Music Venues"
Food,"Coffee & Tea, Juice Bars & Smoothies, Fast Food"
"Night Life, Food","European, Pubs"
Food,"Japanese, Fast Food"
"Night Life, Food","Bars, American, Dance Clubs"
Night Life,"Lounges, Hookah Bars"
Food,"Healthy, Indian"
Food,"Bakery, European, Coffee & Tea"
"Night Life, Food","Breweries, American, Sports Bars"
Food,Caribbean
Food,"Mediterranean, Greek"
Food,Mediterranean
"Night Life, Food","Bars, American"
"Night Life, Food","European, Pubs"
"Night Life, Food","Sports Bars, Mexican"
"Night Life, Food","Cocktail Bars, American"
Food,"European, American, Pizza"
"Night Life, Food","Beer Gardens, American"
Food,Mexican
Food,"American, Fast Food"
Food,European
Food,Asian
Food,"Mediterranean, Healthy"
Food,"Japanese, South Asian"
Food,"Mediterranean, Turkish, Greek"
Night Life,Pubs
Food,"Korean, Deli, Fast Food"
Food,"Healthy, Coffee & Tea, Juice Bars & Smoothies"
"Night Life, Food","Cocktail Bars, American"
"Night Life, Arts&Entertainment","Jazz & Blues, Dive Bars"
Food,"Asian, South Asian"
"Night Life, Food","Mexican, American, Pubs"
"Night Life, Food","Japanese, American, Lounges"
"Night Life, Food","Bars, Pizza, Fast Food"
Food,Mexican
Food,Mexican
"Night Life, Food","Bars, European, Pizza"
Food,"Pizza, Fast Food"
Food,"Healthy, European, Pizza"
Food,European
Food,Mexican
Food,"Ice Cream & Frozen Yogurt, Fast Food"
Food,Fast Food
Food,American
"Night Life, Food","Mexican, Lounges"
Food,Coffee & Tea
Food,Breakfast & Brunch
Food,"Bakery, Coffee & Tea"
"Active Life, Night Life","Bars, Dog Parks"
"Night Life, Arts&Entertainment, Shopping","Bars, Comic Books, Arcades"
Food,"Caribbean, Healthy, Burger"
Food,"Restaurants, Breakfast & Brunch"
Food,"Breakfast & Brunch, Bakery, Fast Food"
Food,American
Food,"Healthy, Burger"
Food,"American, Deli, Fast Food"
"Night Life, Food","Bars, European, Pizza"
"Night Life, Arts&Entertainment, Shopping","Gift Shops, Wine Bars, Wine Tasting Room"
"Night Life, Active Life","Bars, Bowling"
"Night Life, Attractions, Food","American, Venues & Event Spaces, Gastropubs"
Food,Local Flavor
"Night Life, Food","Bars, Restaurants, South Asian"
"Night Life, Food, Shopping","Beer, Convenience Stores, Deli"
Food,"Restaurants, American"
Food,European
"Night Life, Food","American, Sports Bars"
Food,South Asian
Food,"Restaurants, Barbeque"
Food,Seafood
"Night Life, Food","Bars, Indian"
Active Life,Parks
Food,American
"Night Life, Food","Wine Bars, French"
"Night Life, Food, Shopping","Bars, Healthy, Chicken Shop"
Food,Caribbean
Food,South Asian
Food,"Healthy, Burger"
Food,American
Night Life,Lounges
Food,Pizza
Food,"Asian, Japanese"
"Night Life, Attractions, Food","Cocktail Bars, American, Venues & Event Spaces"
"Night Life, Shopping","Chicken Shop, Beer Bar"
"Night Life, Food","Gastropubs, American, Fast Food"
Food,Local Flavor
"Arts&Entertainment, Food","Asian, Poke, Japanese"
"Night Life, Food","Bars, American"
Food,"Japanese, Seafood"
Food,American
Food,Bakery
"Night Life, Food","Cocktail Bars, Beer, Seafood"
"Night Life, Food","Wine Bars, American, Beer Bar"
"Night Life, Food","Cocktail Bars, American, Beer Gardens"
"Night Life, Food","American, Gastropubs"
Food,American
"Arts&Entertainment, Attraction","Historical Tours, Landmarks & Historical Buildings"
Food,Pizza
Food,"Restaurants, Desserts, Bakery"
"Night Life, Food","Korean, Bars"
Food,"American, Russian, French"
Attraction,Landmarks & Historical Buildings
"Night Life, Food","Bars, Pizza, Fast Food"
Food,"Healthy, Indian, Fast Food"
"Night Life, Food","American, Gay Bars"
"Night Life, Food","Bars, Fast Food"
Food,"Japanese, Asian, Chinese"
Food,Barbeque
"Arts&Entertainment, Food","Poke, Seafood"
Food,Greek
"Night Life, Food","Bars, Restaurants, Breakfast & Brunch"
Food,South Asian
Food,Indian
"Arts&Entertainment, Food","Tours, Local Flavor"
Food,Fast Food
"Night Life, Food","American, Pubs"
Food,Fast Food
Active Life,"Golf, Golf Lessons"
Food,"Restaurants, Healthy, Juice Bars & Smoothies"
Food,Coffee&Tea
"Night Life, Food","Turkish, Hookah Bars"
"Night Life, Active Life, Food","Bars, American, Pool Halls"
"Arts&Entertainment, Attraction, Food","Art Galleries, American, Music Venues"
"Night Life, Food","Sports Bars, Pubs, Fast Food"
"Night Life, Food","American, Lounges"
Food,"Mexican, Fast Food"
"Night Life, Food","Bars, American"
Active Life,Parks
Food,"Pizza, Deli, Fast Food"
Food,Fast Food
Food,"Healthy, American, Pizza"
Food,"Healthy, Pizza"
Food,"Japanese, Seafood"
Food,"Bakery, Ice Cream & Frozen Yogurt"
"Night Life, Food","American, Dive Bars"
Food,Seafood
Food,"American, Pizza, Fast Food"
Food,"Chinese, South Asian"
Food,Ethiopian
"Arts&Entertainment, Food","Dinner Theater, American"
Food,"Desserts, American, Deli"
Food,"Healthy, Fast Food, Breakfast & Brunch"
"Arts&Entertainment, Food","American, Music Venues, Fast Food"
Food,"Restaurants, Healthy, Fast Food"
Food,South Asian
Food,Fast Food
Food,"European, French"
Food,"Caf??, Breakfast & Brunch, American"
Food,American
"Night Life, Food","Bars, American"
Food,Barbeque
Food,Fast Food
Food,"Bakery, Fast Food"
Food,Bakery
Food,"European, Pizza"
Food,Asian
"Night Life, Food","American, Pubs"
Active Life,Golf
Food,"Coffee & Tea, Fast Food"
Food,Chinese
NULL,NULL
Food,Asian
Night Life,Cocktail Bars
Food,Desserts
Food,"Breakfast & Brunch, Coffee & Tea"
"Night Life, Food","Turkish, Hookah Bars"
Attraction,Museums
Night Life,Gay Bars
Food,"Healthy, Burger"
Food,American
Food,"Indian, Chinese"
Food,"Desserts, Coffee & Tea"
Food,"Mediterranean, Healthy, Fast Food"
"Night Life, Food","Lounges, Pizza"
Food,American
"Night Life, Food","Bars, American"
Food,"Breakfast & Brunch, American"
Food,"Deli, Fast Food"
Night Life,Cocktail Bars
Food,Pizza
"Night Life, Food","Cocktail Bars, Asian"
Food,Fast Food
Night Life,Pubs
"Night Life, Food","Mexican, American, Sports Bars"
Food,Indian
"Night Life, Food","Cocktail Bars, American"
Food,"Japanese, South Asian"
Food,"Restaurants, Healthy, Fast Food"
Food,Mexican
Food,"Bakery, Coffee & Tea, Fast Food"
"Arts&Entertainment, Food","Coffee & Tea, Music Venues"
"Night Life, Active Life, Arts&Entertainment","Bars, Music Venues, Pool Halls"
Night Life,Cigar Bars
Food,"Healthy, Coffee & Tea, Bakery"
Food,Mexican
"Night Life, Attractions, Food","Wine Bars, American, Venues & Event Spaces"
"Night Life, Food","American, Sports Bars, Fast Food"
"Night Life, Food","Caribbean, Tiki Bars, Seafood"
Food,"American, Fast Food"
Food,Coffee & Tea
Food,Japanese
Food,"Japanese, Seafood"
Food,"Caf??, Breakfast & Brunch, American"
Food,Fast Food
"Night Life, Shopping","Bars, Tobacco Shops"
Food,"Healthy, Desserts, Coffee & Tea"
Food,Mexican
Food,"Barbeque, Fast Food"
Food,"Restaurants, Breakfast & Brunch, Coffee & Tea"
Food,Coffee & Tea
"Night Life, Food","Sports Bars, Mexican"
"Night Life, Food","Bars, Healthy, Fast Food"
Food,"Caribbean, Restaurants"
Active Life,Parks
"Night Life, Food","Bars, Coffee & Tea"
Food,"Healthy, Fast Food"
Active Life,Parks
Food,Local Flavor
Food,"Breakfast & Brunch, Juice Bars & Smoothies, Seafood"
Food,Seafood
Food,European
Food,"Mediterranean, Greek, Pizza"
"Night Life, Attractions","Lounges, Venues & Event Spaces"
Food,"Seafood, Fast Food"
Food,Fast Food
Food,"Breakfast & Brunch, American, Coffee & Tea"
Food,"Deli, Fast Food"
Food,"Mediterranean, Tapas, Middle Eastern"
Food,Fast Food
Food,"Tapas, Spanish"
Food,"Restaurants, American"
Food,"Comfort, American"
"Night Life, Food","Breakfast & Brunch, European, Pubs"
Food,Ice Cream & Frozen Yogurt
Food,"Mediterranean, Turkish"
Food,Coffee & Tea
Food,"Mediterranean, Healthy, Middle Eastern"
Food,Pizza
Food,"Caf??, Desserts, Bakery"
Food,Caribbean
Food,"Mediterranean, Healthy, Greek"
"Night Life, Food","American, Cigar Bars, Lounges"
Night Life,"Lounges, Hookah Bars, Dance Clubs"
Food,Asian
"Night Life, Food","Bars, American, Japanese"
Food,"Deli, Coffee & Tea, Fast Food"
Food,Coffee&Tea
NULL,NULL
Food,Bakery
Food,"Healthy, European"
"Night Life, Arts&Entertainment","Bars, Music Venues"
Food,"Asian, Japanese"
"Night Life, Food","American, Lounges"
Food,"Barbeque, Fast Food"
Food,"Caribbean, Restaurants, Breakfast & Brunch"
Arts&Entertainment,Children's Museums
Food,American
Food,"Restaurants, Healthy, Juice Bars & Smoothies"
"Night Life, Food","American, Dive Bars"
Food,"Breakfast & Brunch, American"
"Night Life, Food","Sports Bars, Mexican"
Food,Coffee & Tea
"Night Life, Food","European, Pubs, Pizza"
"Night Life, Food","American, Sports Bars"
Food,"Caf??, American, Fast Food"
NULL,NULL
Food,Breakfast & Brunch
Food,"Healthy, Deli, Fast Food"
"Night Life, Food","Bars, European, Pizza"
"Night Life, Attractions","Lounges, Venues & Event Spaces, Dance Clubs"
Food,South Asian
Food,"Restaurants, Breakfast & Brunch, American"
Food,Coffee & Tea
Food,American
Food,"Desserts, Ice Cream & Frozen Yogurt"
Food,"Asian, Japanese"
"Night Life, Attractions, Food","Sports Bars, American, Venues & Event Spaces"
Food,"Juice Bars & Smoothies, Fast Food"
"Night Life, Food","Bars, Desserts, Ethiopian"
Food,Barbeque
Food,"Restaurants, American"
"Night Life, Food","Bars, American, Seafood"
Food,Fast Food
Food,"Juice Bars & Smoothies, Deli, Burger"
Night Life,Hookah Bars
"Night Life, Food","American, Sports Bars"
"Arts&Entertainment, Attraction","Escape Games, Museums"
"Night Life, Arts&Entertainment, Food","Pubs, American, Music Venues"
Food,"Healthy, Pizza, Fast Food"
Food,"Indian, Ice Cream & Frozen Yogurt"
Food,"Caf??, European, Pizza"
Food,"Caf??, Coffee&Tea, Breakfast & Brunch"
Food,"Asian, Fast Food, South Asian"
Food,"Chinese, Fast Food"
Food,"Restaurants, European, Deli"
"Night Life, Food","Sports Bars, American, Seafood"
Food,Fast Food
"Active Life, Attraction","Parks, Amusement Parks"
Food,"Asian, Desserts"
Food,"Desserts, Bakery"
Food,Bakery
"Shopping, Food","Desserts, Bakery, Patisserie/Cake Shop"
Night Life,"Wine Bars, Beer Bar"
Food,"Restaurants, American, Fast Food"
Food,"Breakfast & Brunch, American, French"
"Night Life, Food","Wine Bars, European, Pizza"
Food,"Caf??, Desserts, Japanese"
Food,"American, Seafood"
Food,Ice Cream & Frozen Yogurt
Food,"Breakfast & Brunch, Coffee & Tea, Fast Food"
Food,Pizza
Food,Deli
Food,"Restaurants, American, Fast Food"
"Night Life, Food","Caribbean, Sports Bars, Seafood"
Food,Mexican
Food,South Asian
Food,"Caf??, Bakery"
Food,"American, Deli, Fast Food"
Food,Bakery
Active Life,Parks
Food,"Asian, Indian, Desserts"
Food,Mexican
Food,American
Food,"Restaurants, Healthy, Fast Food"
Food,"Restaurants, Breakfast & Brunch"
Food,Restaurants
Food,"Breakfast & Brunch, Bakery, Fast Food"
Active Life,Dog Parks
Food,Breakfast & Brunch
Food,Mexican
Food,"Asian, Chinese, South Asian"
"Night Life, Food","American, Lounges"
"Night Life, Arts&Entertainment","Pubs, Music Venues"
Food,"Asian, Japanese"
NULL,NULL
Food,Caribbean
Attraction,Museums
"Night Life, Food","Pubs, American, Dive Bars"
Food,American
Food,Fast Food
Food,"Mediterranean, Restaurants, Healthy"
Food,"Healthy, American"
Attraction,Museums
Food,"Caribbean, Fast Food"
"Night Life, Food","Cocktail Bars, Caf??, Coffee & Tea"
Food,"European, Fast Food"
Night Life,"Cocktail Bars, Wine Bars, Beer Bar"
Food,"Comfort, American"
Food,Indian
Food,"Chinese, Fast Food"
Attraction,"Planetarium, Museums"
Food,Pizza
Food,"Korean, Mexican, Barbeque"
"Arts&Entertainment, Food","Poke, South Asian"
Food,Caribbean
Night Life,Bars
"Night Life, Food","Wine Bars, American, Seafood"
Food,Coffee & Tea
Food,"Asian, Chinese"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,"American, Fast Food"
Food,Restaurants
Food,"Seafood, Fast Food"
Night Life,Bars
Food,"Caribbean, Fast Food"
Food,American
Food,"Restaurants, Coffee & Tea, Juice Bars & Smoothies"
Food,"Japanese, Chinese"
Food,American
Food,"Healthy, Pizza, Fast Food"
Food,"Healthy, American, Fast Food"
"Night Life, Food","Bars, Pizza, Fast Food"
Food,"Healthy, Fast Food"
Night Life,"Cocktail Bars, Wine Bars, Lounges"
Arts&Entertainment,Speakeasies
Food,"Comfort, American, Seafood"
"Night Life, Arts&Entertainment","Sports Bars, Karaoke, Gastropubs"
"Night Life, Arts&Entertainment, Food","Bars, American, Arcades"
Food,Seafood
"Night Life, Food","Bars, American"
Food,Indian
"Night Life, Food","Bars, Pizza, Fast Food"
Food,"Restaurants, European, Fast Food"
"Night Life, Attractions, Food","Breakfast & Brunch, Lounges, Venues & Event Spaces"
Food,Ice Cream & Frozen Yogurt
Food,"Asian, Mexican, Chinese"
Food,"Restaurants, Seafood, Fast Food"
Food,Coffee & Tea
Food,Asian
Food,"American, Fast Food"
"Shopping, Food","Patisserie/Cake Shop, Coffee & Tea, Fast Food"
Food,Caribbean
Food,"Pizza, Burger"
Food,"Deli, Fast Food"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,"Restaurants, Healthy, Juice Bars & Smoothies"
Food,American
Food,"European, Fast Food"
"Attraction, Arts&Entertainment, Attractions","Dance Schools, Venues & Event Spaces, Landmarks & Historical Buildings"
Food,Fast Food
Active Life,Parks
Food,"Restaurants, Barbeque"
"Night Life, Food","Cocktail Bars, Sports Bars, American"
Food,"European, Pizza"
Food,"Coffee & Tea, Bakery"
"Night Life, Food","American, Sports Bars"
Food,"Restaurants, Breakfast & Brunch, American"
Food,Mexican
Food,Caribbean
Food,"Barbeque, Japanese"
Food,Chinese
"Night Life, Food","Lounges, Seafood"
Food,Breakfast & Brunch
Food,Desserts
Food,"Restaurants, Mexican, Fast Food"
Food,Fast Food
"Attractions, Food","American, Venues & Event Spaces"
Food,"European, Pizza"
Food,"Asian, South Asian"
Food,Mexican
"Night Life, Food","American, Pubs"
Food,"Chinese, South Asian"
Food,Restaurants
Food,Restaurants
Food,"Healthy, Coffee & Tea, Fast Food"
Food,"Restaurants, American, Seafood"
Food,Pizza
"Night Life, Food","Wine Bars, Tapas, American"
Food,"Restaurants, Fast Food"
Night Life,Lounges
Food,"Mexican, Fast Food"
Food,"Mexican, Fast Food"
Attraction,Museums
Food,Caribbean
Food,"Indian, Middle Eastern"
"Shopping, Food","Restaurants, Coffee & Tea, Home Decor"
Food,"American, Fast Food"
Food,Asian
Food,Restaurants
"Night Life, Food","Bars, American, Barbeque"
Food,"Japanese, Chinese, Fast Food"
"Night Life, Food","Sports Bars, Mexican"
Food,Indian
Food,"Coffee & Tea, Fast Food"
Food,"Desserts, Greek, Japanese"
Food,"Restaurants, Asian, Japanese"
Food,"American, Fast Food"
Food,"Restaurants, Breakfast & Brunch, American"
Food,"Japanese, Seafood"
Food,Japanese
Food,Pizza
Food,Coffee & Tea
Food,"Restaurants, Breakfast & Brunch, American"
Food,"Mediterranean, African, Middle Eastern"
Food,"Restaurants, Breakfast & Brunch, American"
Food,"Restaurants, American"
"Night Life, Food","American, Lounges"
Food,Fast Food
Food,"American, Chinese, Fast Food"
"Night Life, Food","Cocktail Bars, Tapas"
Food,American
Night Life,Gastropubs
"Night Life, Food","Bars, Tapas, American"
"Night Life, Food","Beer, American, Fast Food"
Food,Caribbean
"Night Life, Food","Cocktail Bars, European"
Food,South Asian
Food,Restaurants
Food,American
"Night Life, Food","American, Pubs"
"Attractions, Food","Caf??, Coffee & Tea, Venues & Event Spaces"
Food,American
Food,Seafood
Food,"American, Fast Food"
Food,Coffee&Tea
Food,Mexican
Food,"Breakfast & Brunch, Seafood, Fast Food"
Food,"American, Barbeque"
"Night Life, Food","American, Pubs"
Food,"Tapas, Spanish"
Food,American
"Night Life, Food","Bars, Breakfast & Brunch, Desserts"
Food,"Bakery, Burger"
Night Life,Beer Bar
Food,"Bakery, Coffee & Tea, Deli"
"Night Life, Food","Bars, American"
"Arts&Entertainment, Food","Poke, Japanese, Seafood"
Food,Indian
Food,American
Food,"Breakfast & Brunch, Coffee & Tea, American"
"Night Life, Food","Cocktail Bars, American, Gastropubs"
"Night Life, Food","Bars, Tapas, American"
"Night Life, Food","American, Brewpubs"
Food,"Deli, Fast Food"
"Night Life, Food","Coffee & Tea, Beer Bar"
Food,"Comfort, Asian, American"
Food,"American, Seafood"
Food,Barbeque
Food,Fast Food
"Night Life, Food","Cocktail Bars, American"
Food,American
Food,"Mediterranean, Juice Bars & Smoothies, Middle Eastern"
Food,"Breakfast & Brunch, American"
Food,"Desserts, Ice Cream & Frozen Yogurt"
Food,European
"Night Life, Food","Bars, American"
Food,"Comfort, American"
Food,"Asian, South Asian"
Food,"Breakfast & Brunch, Coffee & Tea, American"
Food,"Breakfast & Brunch, American"
Food,"Breakfast & Brunch, American"
"Shopping, Food","Chicken Shop, Deli, Fast Food"
"Night Life, Food","Bars, Fast Food"
Food,Pizza
Food,"Breakfast & Brunch, Bakery, Fast Food"
Food,"Bakery, Ice Cream & Frozen Yogurt"
"Night Life, Food","Cocktail Bars, American"
Food,Breakfast & Brunch
Food,Breakfast & Brunch
Night Life,Bars
Food,"Tapas, Spanish"
Food,American
Food,Ice Cream & Frozen Yogurt
"Night Life, Food","Pizza, Gastropubs, Fast Food"
"Attractions, Food","Coffee&Tea, American, Venues & Event Spaces"
Food,American
Food,"Korean, Asian"
Night Life,Bars
Food,"European, American"
Food,"Desserts, Bakery, Burger"
Food,"Asian, Fast Food"
Food,Mexican
Food,"Coffee&Tea, Coffee & Tea, Bakery"
Food,Barbeque
Food,"Caf??, Coffee & Tea"
Attraction,Aquariums
Food,"American, Seafood"
"Night Life, Arts&Entertainment, Food","American, Dive Bars, Music Venues"
Food,Barbeque
Food,Mexican
"Night Life, Food, Shopping","Beer, Grocery, Deli"
Food,"Ice Cream & Frozen Yogurt, Fast Food"
Food,"Breakfast & Brunch, American"
"Night Life, Food","Bars, Desserts, Seafood"
Food,"Deli, Restaurants, Fast Food"
Food,Coffee & Tea
Food,"Healthy, Desserts, Ice Cream & Frozen Yogurt"
Food,"Asian, Barbeque, Fast Food"
"Night Life, Food","Korean, Barbeque, Bars"
"Night Life, Food","Wine Bars, European"
Food,Ice Cream & Frozen Yogurt
Food,"Mediterranean, African"
"Night Life, Arts&Entertainment, Food","Cocktail Bars, Music Venues, Seafood"
Food,"European, Pizza"
